## APPENDIX A

| LINK CODE | TITLE CODE | TITLE NAME | MONTHLY MINIMUM RATE | HOURLY MINIMUM RATE | MONTHLY MIDPOINT RATE | HOURLY MIDPOINT RATE | MONTHLY MAXIMUM RATE | HOURLY MAXIMUM RATE | SHIFT DIFFERENTIAL EVE | SHIFT DIFFERENTIAL NIGHT | SHIFT DIFFERENTIAL WKEND | ON CALL RATES 1 | ON CALL RATES 2 | ON CALL RATES 3 |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | | **CAMPUS - San Diego - cont.** | | | | | | | | | | | | |
| | | **January and July 2004** | | | | | | | | | | | | |
| 012 | 8975 | TECHNICIAN, HOSPITAL LAB, II | $3,021 | $17.36 | $3,435 | $19.74 | $3,849 | $22.12 | $2.00 | $3.00 | | | | |
| 012 | 8976 | TECHNICIAN, HOSPITAL LAB, I | $2,641 | $15.18 | $2,998 | $17.23 | $3,355 | $19.28 | $2.00 | $3.00 | | | | |
| 012 | 8980 | TECHNICIAN, HOSPITAL LAB I,PD | $3,186 | $18.31 | | | | | $2.00 | $3.00 | | | | |
| 012 | 8984 | HOSP. LAB. TECH. III, P.D. | $4,002 | $23.00 | | | | | $2.00 | $3.00 | | | | |
| 012 | 8985 | HOSP. LAB. TECH. II, P.D. | $3,649 | $20.97 | | | | | $2.00 | $3.00 | | | | |
| 012 | 9190 | DENTAL HYGIENIST | $3,762 | $21.62 | $4,812 | $27.66 | $5,862 | $33.69 | $2.00 | $3.00 | | | | |
| 012 | 9190 | DENTAL HYGIENIST | $5,862 | $33.69 | | | | | $2.00 | $3.00 | | | | |
| 012 | 9196 | DENTAL ASST, REGISTERED | $2,015 | $11.58 | $2,259 | $12.98 | $2,500 | $14.37 | $2.00 | $3.00 | | | | |
| 012 | 9199 | DENTAL ASST | $1,843 | $10.59 | $2,055 | $11.81 | $2,267 | $13.03 | $2.00 | $3.00 | | | | |
| 012 | 9200 | DENTAL AIDE | $1,716 | $9.86 | $1,909 | $10.97 | $2,102 | $12.08 | $2.00 | $3.00 | | | | |
| 012 | 9396 | TECHNICIAN, II, GI ENDOSCOPY, PD | | $17.86 | | | | | $2.00 | $3.00 | | | | |
| 012 | 9397 | TECHNICIAN, II, GI ENDOSCOPY | $2,852 | $16.39 | $3,272 | $18.80 | $3,691 | $21.21 | $2.00 | $3.00 | | | | |
| 012 | 9399 | TECHNICIAN, I, GI ENDOSCOPY | $2,709 | $15.57 | $3,107 | $17.86 | $3,504 | $20.14 | $2.00 | $3.00 | | | | |
| 013 | 8962 | TECHNICIAN, ELECTROCARDIOG, SR | $2,511 | $14.43 | $2,955 | $16.98 | $3,398 | $19.53 | $2.00 | $3.00 | | | | |
| 013 | 8963 | TECHNICIAN, ELECTROCARDIOGRAPH | $2,246 | $12.91 | $2,622 | $15.07 | $2,996 | $17.22 | $2.00 | $3.00 | | | | |
| 013 | 9059 | TECHNOLOGIST, EEG, PRIN | $3,144 | $18.07 | $3,743 | $21.51 | $4,343 | $24.96 | $2.00 | $3.00 | | | | |
| 013 | 9060 | TECHNOLOGIST, EEG, SR | $2,895 | $16.64 | $3,431 | $19.72 | $3,967 | $22.80 | $2.00 | $3.00 | | | | |
| 013 | 9061 | TECHNOLOGIST, EEG | $2,607 | $14.98 | $3,076 | $17.68 | $3,546 | $20.38 | $2.00 | $3.00 | | | | |
| 014 | 8965 | TECHNOLOGIST, ULTRASOUND, PRIN | $5,305 | $30.49 | $5,742 | $33.00 | $6,177 | $35.50 | $2.00 | $3.00 | $1.00 | | | |
| 014 | 8966 | TECHNOLOGIST, ULTRASOUND, SR | $5,041 | $28.97 | $5,441 | $31.27 | $5,841 | $33.57 | $2.00 | $3.00 | $1.00 | | | |
| 014 | 8967 | TECHNOLOGIST, ULTRASOUND | $4,788 | $27.52 | $5,170 | $29.71 | $5,549 | $31.89 | $2.00 | $3.00 | $1.00 | | | |
| 014 | 8968 | TECHNOLOGIST,U/S,SR,PER DIEM | $5,109 | $29.36 | | | | | $2.00 | $3.00 | $1.00 | | | |
| 014 | 8990 | TECHNOLOGIST RADIOLOGIC SR PD | $, | $26.29 | | | | | $2.00 | $3.00 | $1.00 | | | |
| 014 | 9007 | DOSIMETRIST, SR | $5,044 | $28.99 | $6,545 | $37.61 | $8,046 | $46.24 | $2.00 | $3.00 | $1.00 | | | |
| 014 | 9008 | DOSIMETRIST | $4,804 | $27.61 | $6,234 | $35.83 | $7,664 | $44.05 | $2.00 | $3.00 | $1.00 | | | |
| 014 | 9007 | DOSIMETRIST, SR | $5,044 | $28.99 | $6,180 | $35.52 | $7,315 | $42.04 | $2.00 | $3.00 | $1.00 | | | |
| 014 | 9008 | DOSIMETRIST | $4,804 | $27.61 | $5,886 | $33.83 | $6,967 | $40.04 | $2.00 | $3.00 | $1.00 | | | |
| 014 | 9011 | TECHNOLOGIST,RAD THPY,ASSO,CHI | $5,044 | $28.99 | $6,180 | $35.52 | $7,315 | $42.04 | $2.00 | $3.00 | $1.00 | | | |
| 014 | 9012 | TECHNOLOGIST,RAD THPY, SR | $4,538 | $26.08 | $6,087 | $34.98 | $7,637 | $43.89 | $2.00 | $3.00 | $1.00 | | | |
| 014 | 9013 | TECHNOLOGIST,RADIATION THPY | $4,367 | $25.10 | $5,794 | $33.30 | $7,220 | $41.49 | $2.00 | $3.00 | $1.00 | | | |

- 118 -
